couponDates,couponAmounts,faceAmounts,currency,name,isin,issueDate,cfactor,risk
11/15/2014,12.5,0,USD,CTD_TYU7,US912828WJ58,05/15/2014,0.8139,US_GOV
05/15/2015,12.5,0,,,,,,
11/15/2015,12.5,0,,,,,,
05/15/2016,12.5,0,,,,,,
11/15/2016,12.5,0,,,,,,
05/15/2017,12.5,0,,,,,,
11/15/2017,12.5,0,,,,,,
05/15/2018,12.5,0,,,,,,
11/15/2018,12.5,0,,,,,,
05/15/2019,12.5,0,,,,,,
11/15/2019,12.5,0,,,,,,
05/15/2020,12.5,0,,,,,,
11/15/2020,12.5,0,,,,,,
05/15/2021,12.5,0,,,,,,
11/15/2021,12.5,0,,,,,,
05/15/2022,12.5,0,,,,,,
11/15/2022,12.5,0,,,,,,
05/15/2023,12.5,0,,,,,,
11/15/2023,12.5,0,,,,,,
05/15/2024,12.5,1000,,,,,,
