couponDates,couponAmounts,faceAmount,currency,name,isin,issueDate,couponFreq,cfactor
08/15/2017,11.25,1000,USD,CTD_UXYU7,US912828V988,02/15/2017,2,0.7367
02/15/2018,11.25,,,,,,,
08/15/2018,11.25,,,,,,,
02/15/2019,11.25,,,,,,,
08/15/2019,11.25,,,,,,,
02/15/2020,11.25,,,,,,,
08/15/2020,11.25,,,,,,,
02/15/2021,11.25,,,,,,,
08/15/2021,11.25,,,,,,,
02/15/2022,11.25,,,,,,,
08/15/2022,11.25,,,,,,,
02/15/2023,11.25,,,,,,,
08/15/2023,11.25,,,,,,,
02/15/2024,11.25,,,,,,,
08/15/2024,11.25,,,,,,,
02/15/2025,11.25,,,,,,,
08/15/2025,11.25,,,,,,,
02/15/2026,11.25,,,,,,,
08/15/2026,11.25,,,,,,,
02/15/2027,11.25,,,,,,,
