dates,futPrices,repoRates,ctdPrices,ois3,ois4,fedLow,fedUp
15.05.2017,117.71875,0.0085,99.7578125,0.010335,0.010537,0.0075,0.01
16.05.2017,117.765625,0.0085,99.79296875,0.010325,0.010545,0.0075,0.01
17.05.2017,118.2734375,0.00845,100.2226563,0.01016,0.010255,0.0075,0.01
18.05.2017,118.1640625,0.00845,100.1171875,0.010423,0.010573,0.0075,0.01
19.05.2017,118.1015625,0.00855,100.0742188,0.010468,0.010647,0.0075,0.01
22.05.2017,118.09375,0.00855,100.0546875,0.010567,0.010742,0.0075,0.01
23.05.2017,117.9296875,0.00855,99.90625,0.010675,0.010846,0.0075,0.01
24.05.2017,118.0703125,0.00875,100.0195313,0.01063,0.010775,0.0075,0.01
25.05.2017,118.1015625,0.0093,100.0546875,0.01082,0.010979,0.0075,0.01
26.05.2017,118.1015625,0.0093,100.0429688,0.01079,0.010947,0.0075,0.01
30.05.2017,118.265625,0.0093,100.1757813,0.010921,0.011025,0.0075,0.01
31.05.2017,118.3125,0.00955,100.2109375,0.010985,0.011115,0.0075,0.01
01.06.2017,118.2421875,0.00935,100.1484375,0.01112,0.011238,0.0075,0.01
02.06.2017,118.46875,0.00935,100.3320313,0.011155,0.011295,0.0075,0.01
05.06.2017,118.3671875,0.00935,100.2421875,0.011202,0.011364,0.0075,0.01
06.06.2017,118.5234375,0.00935,100.3671875,0.011214,0.01137,0.0075,0.01
07.06.2017,118.375,0.00935,100.2421875,0.011276,0.0114,0.0075,0.01
08.06.2017,118.3125,0.0106,100.1835938,0.011367,0.011493,0.0075,0.01
09.06.2017,118.28125,0.0106,100.1484375,0.011412,0.011548,0.0075,0.01
12.06.2017,118.21875,0.01125,100.0859375,0.011446,0.011588,0.0075,0.01
13.06.2017,118.21875,0.01125,100.0859375,0.01147,0.01159,0.0075,0.01
14.06.2017,118.46875,0.01125,100.296875,0.011525,0.011621,0.01,0.0125
15.06.2017,118.28125,0.01215,100.1367188,0.011558,0.011663,0.01,0.0125
16.06.2017,118.390625,0.01225,100.21875,0.011558,0.011648,0.01,0.0125
19.06.2017,118.1796875,0.01275,100.0351563,0.011543,0.011658,0.01,0.0125
20.06.2017,118.3359375,0.01275,100.15625,0.01157,0.011658,0.01,0.0125
21.06.2017,118.296875,0.01275,100.1328125,0.01158,0.01165,0.01,0.0125
22.06.2017,118.3359375,0.01275,100.1640625,0.01157,0.011647,0.01,0.0125
23.06.2017,118.359375,0.01275,100.1875,0.011571,0.011659,0.01,0.0125
26.06.2017,118.3828125,0.01275,100.1992188,0.011578,0.011685,0.01,0.0125
27.06.2017,118.125,0.01275,99.9921875,0.011585,0.01168,0.01,0.0125
28.06.2017,118.1796875,0.01275,100.0390625,0.011594,0.011705,0.01,0.0125
29.06.2017,118.0078125,0.01275,99.89453125,0.011608,0.01172,0.01,0.0125
30.06.2017,117.8359375,0.01275,99.74609375,0.011623,0.01175,0.01,0.0125
03.07.2017,117.6015625,0.01185,99.55078125,0.011662,0.011797,0.01,0.0125
05.07.2017,117.625,0.0116,99.5703125,0.011695,0.011818,0.01,0.0125
06.07.2017,117.5546875,0.0116,99.51171875,0.011671,0.011797,0.01,0.0125
07.07.2017,117.4921875,0.0113,99.44921875,0.011662,0.011771,0.01,0.0125
10.07.2017,117.625,0.0113,99.5703125,0.01166,0.011755,0.01,0.0125
11.07.2017,117.6796875,0.0113,99.62109375,0.011647,0.011738,0.01,0.0125
12.07.2017,117.875,0.0113,99.78125,0.011649,0.01173,0.01,0.0125
13.07.2017,117.828125,0.01125,99.734375,0.011658,0.011737,0.01,0.0125
14.07.2017,117.9765625,0.01125,99.85546875,0.011638,0.0117,0.01,0.0125
17.07.2017,118.015625,0.01125,99.8984375,0.011641,0.011701,0.01,0.0125
18.07.2017,118.1484375,0.01125,100.0039063,0.01162,0.011685,0.01,0.0125
19.07.2017,118.1328125,0.01105,99.99609375,0.01167,0.011731,0.01,0.0125
20.07.2017,118.140625,0.0112,99.9921875,0.011631,0.01169,0.01,0.0125
21.07.2017,118.2578125,0.01135,100.0859375,0.011633,0.01169,0.01,0.0125
24.07.2017,118.15625,0.01135,100,0.011663,0.011735,0.01,0.0125
25.07.2017,117.8671875,0.01135,99.7578125,0.011668,0.011734,0.01,0.0125
26.07.2017,118.1953125,0.01135,100.03125,0.011614,0.01166,0.01,0.0125
27.07.2017,118.1015625,0.01135,99.94921875,0.011616,0.011658,0.01,0.0125
