dates,futPrices,repoRates,ctdPrices,ois3,ois4,fedLow,fedUp
2017-06-30,107.9609375,0.01275,100.3945313,0.011623,0.01175,0.01,0.0125
2017-07-03,107.8828125,0.01185,100.3007813,0.011662,0.011797,0.01,0.0125
2017-07-05,107.859375,0.0116,100.3046875,0.011695,0.011818,0.01,0.0125
2017-07-06,107.8125,0.0116,100.3046875,0.011671,0.011797,0.01,0.0125
2017-07-07,107.8046875,0.0113,100.296875,0.011662,0.011771,0.01,0.0125
2017-07-10,107.84375,0.0113,100.3632813,0.01166,0.011755,0.01,0.0125
2017-07-11,107.875,0.0113,100.4023438,0.011647,0.011738,0.01,0.0125
2017-07-12,107.9453125,0.0113,100.4804688,0.011649,0.01173,0.01,0.0125
2017-07-13,107.9140625,0.01125,100.421875,0.011658,0.011737,0.01,0.0125
2017-07-14,107.9140625,0.01125,100.453125,0.011638,0.0117,0.01,0.0125
2017-07-17,107.9296875,0.01125,100.4570313,0.011641,0.011701,0.01,0.0125
2017-07-18,107.953125,0.01125,100.4960938,0.01162,0.011685,0.01,0.0125
2017-07-19,107.9453125,0.01105,100.4960938,0.01167,0.011731,0.01,0.0125
2017-07-20,107.9453125,0.0112,100.4960938,0.011631,0.01169,0.01,0.0125
2017-07-21,107.9921875,0.01135,100.5351563,0.011633,0.01169,0.01,0.0125
2017-07-24,107.953125,0.01135,100.4921875,0.011663,0.011735,0.01,0.0125
2017-07-25,107.890625,0.01135,100.3945313,0.011668,0.011734,0.01,0.0125
2017-07-26,107.9921875,0.01135,100.5234375,0.011614,0.01166,0.01,0.0125
2017-07-27,107.984375,0.01135,100.5039063,0.011616,0.011658,0.01,0.0125
2017-07-28,108.0078125,0.01135,100.515625,0.011606,0.01165,0.01,0.0125
2017-07-31,108,0.01135,100.5195313,0.01161,0.011664,0.01,0.0125
2017-08-01,108.015625,0.01125,100.5390625,0.01161,0.011655,0.01,0.0125
2017-08-02,107.9765625,0.01125,100.5,0.011618,0.011662,0.01,0.0125
2017-08-03,108.015625,0.01125,100.5546875,0.011616,0.011659,0.01,0.0125
2017-08-04,107.9765625,0.01125,100.5117188,0.011622,0.011668,0.01,0.0125
2017-08-07,107.9921875,0.0108,100.5117188,0.011625,0.011672,0.01,0.0125
2017-08-08,107.96875,0.0108,100.5,0.011638,0.01168,0.01,0.0125
2017-08-09,108.03125,0.0108,100.5546875,0.011624,0.011662,0.01,0.0125
2017-08-10,108.0390625,0.01115,100.546875,0.011609,0.011649,0.01,0.0125
2017-08-11,108.1328125,0.01145,100.6484375,0.011599,0.011623,0.01,0.0125
2017-08-14,108.0703125,0.01145,100.5976563,0.011587,0.01166,0.01,0.0125
2017-08-15,108,0.01145,100.5195313,0.011613,0.01168,0.01,0.0125
2017-08-16,108.0546875,0.01145,100.5703125,0.011613,0.011658,0.01,0.0125
2017-08-17,108.078125,0.01145,100.6054688,0.011588,0.011663,0.01,0.0125
2017-08-18,108.0703125,0.01145,100.609375,0.011585,0.01167,0.01,0.0125
2017-08-21,108.1015625,0.01145,100.6445313,0.01159,0.01166,0.01,0.0125
2017-08-22,108.0625,0.01145,100.5859375,0.011595,0.011708,0.01,0.0125
2017-08-23,108.09375,0.01145,100.6328125,0.0116,0.011696,0.01,0.0125
2017-08-24,108.0546875,0.01165,100.5820313,0.011631,0.011747,0.01,0.0125
2017-08-25,108.0546875,0.01165,100.5820313,0.011626,0.01173,0.01,0.0125
2017-08-28,108.0703125,0.0118,100.5898438,0.011622,0.011736,0.01,0.0125
2017-08-29,108.125,0.0118,100.6289063,0.011587,0.011695,0.01,0.0125
2017-08-30,108.09375,0.0118,100.59375,0.011598,0.011708,0.01,0.0125
2017-08-31,108.1015625,0.0118,100.609375,0.011594,0.011722,0.01,0.0125
2017-09-01,108.0546875,0.01165,100.546875,0.011608,0.01177,0.01,0.0125
2017-09-05,108.1796875,0.01165,100.6875,0.011553,0.011683,0.01,0.0125
2017-09-06,108.1484375,0.01165,100.6367188,0.011566,0.0117,0.01,0.0125
2017-09-07,108.2109375,0.01165,100.703125,0.011555,0.011682,0.01,0.0125
2017-09-08,108.2265625,0.01165,100.703125,0.01154,0.01166,0.01,0.0125
2017-09-11,108.1328125,0.01165,100.5859375,0.011567,0.011789,0.01,0.0125
2017-09-12,108.09375,0.01165,100.546875,0.011573,0.011795,0.01,0.0125
2017-09-13,108.0546875,0.01165,100.5039063,0.011571,0.011815,0.01,0.0125
2017-09-14,108.015625,0.01165,100.4726563,0.01164,0.011898,0.01,0.0125
2017-09-15,107.96875,0.01175,100.4296875,0.011666,0.011936,0.01,0.0125
2017-09-18,107.9453125,0.01175,100.40625,0.011691,0.011995,0.01,0.0125
2017-09-19,107.921875,0.01195,100.3945313,0.01172,0.012015,0.01,0.0125
2017-09-20,107.8359375,0.0123,100.296875,0.011728,0.012113,0.01,0.0125
2017-09-21,107.8203125,0.0123,100.296875,0.011811,0.012159,0.01,0.0125
