dates,futPrices,repoRates,ctdPrices,ois3,ois4,fedLow,fedUp
2017-05-15,108.125,0.0085,100.625,0.010335,0.010537,0.0075,0.01
2017-05-16,108.1328125,0.0085,100.6289063,0.010325,0.010545,0.0075,0.01
2017-05-17,108.2734375,0.00845,100.7382813,0.01016,0.010255,0.0075,0.01
2017-05-18,108.2265625,0.00845,100.6953125,0.010423,0.010573,0.0075,0.01
2017-05-19,108.21875,0.00855,100.6757813,0.010468,0.010647,0.0075,0.01
2017-05-22,108.21875,0.00855,100.6757813,0.010567,0.010742,0.0075,0.01
2017-05-23,108.15625,0.00855,100.6132813,0.010675,0.010846,0.0075,0.01
2017-05-24,108.1875,0.00875,100.6445313,0.01063,0.010775,0.0075,0.01
2017-05-25,108.2109375,0.0093,100.6640625,0.01082,0.010979,0.0075,0.01
2017-05-26,108.203125,0.0093,100.6523438,0.01079,0.010947,0.0075,0.01
2017-05-30,108.234375,0.0093,100.6796875,0.010921,0.011025,0.0075,0.01
2017-05-31,108.2421875,0.00955,100.6953125,0.010985,0.011115,0.0075,0.01
2017-06-01,108.1953125,0.00935,100.6523438,0.01112,0.011238,0.0075,0.01
2017-06-02,108.21875,0.00935,100.671875,0.011155,0.011295,0.0075,0.01
2017-06-05,108.1875,0.00935,100.6289063,0.011202,0.011364,0.0075,0.01
2017-06-06,108.21875,0.00935,100.6523438,0.011214,0.01137,0.0075,0.01
2017-06-07,108.1796875,0.00935,100.609375,0.011276,0.0114,0.0075,0.01
2017-06-08,108.15625,0.0106,100.59375,0.011367,0.011493,0.0075,0.01
2017-06-09,108.1328125,0.0106,100.5585938,0.011412,0.011548,0.0075,0.01
2017-06-12,108.1015625,0.01125,100.515625,0.011446,0.011588,0.0075,0.01
2017-06-13,108.109375,0.01125,100.5117188,0.01147,0.01159,0.0075,0.01
2017-06-14,108.1640625,0.01125,100.5546875,0.011525,0.011621,0.01,0.0125
2017-06-15,108.109375,0.01215,100.5,0.011558,0.011663,0.01,0.0125
2017-06-16,108.15625,0.01225,100.5507813,0.011558,0.011648,0.01,0.0125
2017-06-19,108.0859375,0.01275,100.4804688,0.011543,0.011658,0.01,0.0125
2017-06-20,108.125,0.01275,100.5117188,0.01157,0.011658,0.01,0.0125
2017-06-21,108.109375,0.01275,100.5078125,0.01158,0.01165,0.01,0.0125
2017-06-22,108.1328125,0.01275,100.53125,0.01157,0.011647,0.01,0.0125
2017-06-23,108.1484375,0.01275,100.53125,0.011571,0.011659,0.01,0.0125
2017-06-26,108.1640625,0.01275,100.5390625,0.011578,0.011685,0.01,0.0125
2017-06-27,108.109375,0.01275,100.5039063,0.011585,0.01168,0.01,0.0125
2017-06-28,108.140625,0.01275,100.5429688,0.011594,0.011705,0.01,0.0125
2017-06-29,108.1015625,0.01275,100.5039063,0.011608,0.01172,0.01,0.0125
2017-06-30,108.0546875,0.01275,100.4726563,0.011623,0.01175,0.01,0.0125
2017-07-03,107.9765625,0.01185,100.4140625,0.011662,0.011797,0.01,0.0125
2017-07-05,107.9765625,0.0116,100.4140625,0.011695,0.011818,0.01,0.0125
2017-07-06,107.9921875,0.0116,100.4257813,0.011671,0.011797,0.01,0.0125
2017-07-07,107.984375,0.0113,100.4101563,0.011662,0.011771,0.01,0.0125
2017-07-10,108.0234375,0.0113,100.4570313,0.01166,0.011755,0.01,0.0125
2017-07-11,108.0625,0.0113,100.4726563,0.011647,0.011738,0.01,0.0125
2017-07-12,108.125,0.0113,100.53125,0.011649,0.01173,0.01,0.0125
2017-07-13,108.1015625,0.01125,100.5,0.011658,0.011737,0.01,0.0125
2017-07-14,108.109375,0.01125,100.515625,0.011638,0.0117,0.01,0.0125
2017-07-17,108.125,0.01125,100.5117188,0.011641,0.011701,0.01,0.0125
2017-07-18,108.140625,0.01125,100.5234375,0.01162,0.011685,0.01,0.0125
2017-07-19,108.1328125,0.01105,100.5195313,0.01167,0.011731,0.01,0.0125
2017-07-20,108.1328125,0.0112,100.5117188,0.011631,0.01169,0.01,0.0125
2017-07-21,108.1640625,0.01135,100.5390625,0.011633,0.01169,0.01,0.0125
2017-07-24,108.1328125,0.01135,100.5039063,0.011663,0.011735,0.01,0.0125
2017-07-25,108.078125,0.01135,100.453125,0.011668,0.011734,0.01,0.0125
2017-07-26,108.171875,0.01135,100.53125,0.011614,0.01166,0.01,0.0125
2017-07-27,108.1640625,0.01135,100.5273438,0.011616,0.011658,0.01,0.0125
2017-07-28,108.1796875,0.01135,100.53125,0.011606,0.01165,0.01,0.0125
2017-07-31,108.171875,0.01135,100.5351563,0.01161,0.011664,0.01,0.0125
2017-08-01,108.1875,0.01125,100.5429688,0.01161,0.011655,0.01,0.0125
2017-08-02,108.1484375,0.01125,100.515625,0.011618,0.011662,0.01,0.0125
2017-08-03,108.1953125,0.01125,100.546875,0.011616,0.011659,0.01,0.0125
2017-08-04,108.15625,0.01125,100.5117188,0.011622,0.011668,0.01,0.0125
2017-08-07,108.171875,0.0108,100.515625,0.011625,0.011672,0.01,0.0125
2017-08-08,108.1484375,0.0108,100.4960938,0.011638,0.01168,0.01,0.0125
2017-08-09,108.203125,0.0108,100.5429688,0.011624,0.011662,0.01,0.0125
2017-08-10,108.203125,0.01115,100.5390625,0.011609,0.011649,0.01,0.0125
2017-08-11,108.2890625,0.01145,100.6132813,0.011599,0.011623,0.01,0.0125
2017-08-14,108.234375,0.01145,100.5703125,0.011587,0.01166,0.01,0.0125
2017-08-15,108.171875,0.01145,100.5117188,0.011613,0.01168,0.01,0.0125
2017-08-16,108.21875,0.01145,100.5390625,0.011613,0.011658,0.01,0.0125
2017-08-17,108.2421875,0.01145,100.5664063,0.011588,0.011663,0.01,0.0125
2017-08-18,108.234375,0.01145,100.5585938,0.011585,0.01167,0.01,0.0125
2017-08-21,108.265625,0.01145,100.5820313,0.01159,0.01166,0.01,0.0125
2017-08-22,108.2265625,0.01145,100.5390625,0.011595,0.011708,0.01,0.0125
