dates,futPrices,repoRates,ctdPrices,ois3,ois4,fedLow,fedUp
2017-05-15,125.140625,0.0085,102.3359375,0.010335,0.010537,0.0075,0.01
2017-05-16,125.21875,0.0085,102.3945313,0.010325,0.010545,0.0075,0.01
2017-05-17,126.125,0.00845,103.1171875,0.01016,0.010255,0.0075,0.01
2017-05-18,125.984375,0.00845,103.0039063,0.010423,0.010573,0.0075,0.01
2017-05-19,125.890625,0.00855,102.9257813,0.010468,0.010647,0.0075,0.01
2017-05-22,125.828125,0.00855,102.8632813,0.010567,0.010742,0.0075,0.01
2017-05-23,125.5625,0.00855,102.640625,0.010675,0.010846,0.0075,0.01
2017-05-24,125.765625,0.00875,102.8085938,0.01063,0.010775,0.0075,0.01
2017-05-25,125.859375,0.0093,102.8867188,0.01082,0.010979,0.0075,0.01
2017-05-26,125.890625,0.0093,102.8867188,0.01079,0.010947,0.0075,0.01
2017-05-30,126.15625,0.0093,103.1132813,0.010921,0.011025,0.0075,0.01
2017-05-31,126.296875,0.00955,103.2070313,0.010985,0.011115,0.0075,0.01
2017-06-01,126.1875,0.00935,103.109375,0.01112,0.011238,0.0075,0.01
2017-06-02,126.640625,0.00935,103.4648438,0.011155,0.011295,0.0075,0.01
2017-06-05,126.46875,0.00935,103.3164063,0.011202,0.011364,0.0075,0.01
2017-06-06,126.765625,0.00935,103.5507813,0.011214,0.01137,0.0075,0.01
2017-06-07,126.53125,0.00935,103.3632813,0.011276,0.0114,0.0075,0.01
2017-06-08,126.453125,0.0106,103.2851563,0.011367,0.011493,0.0075,0.01
2017-06-09,126.421875,0.0106,103.2539063,0.011412,0.011548,0.0075,0.01
2017-06-12,126.328125,0.01125,103.1523438,0.011446,0.011588,0.0075,0.01
2017-06-13,126.375,0.01125,103.1875,0.01147,0.01159,0.0075,0.01
2017-06-14,126.921875,0.01125,103.640625,0.011525,0.011621,0.01,0.0125
2017-06-15,126.640625,0.01215,103.4179688,0.011558,0.011663,0.01,0.0125
2017-06-16,126.75,0.01225,103.4882813,0.011558,0.011648,0.01,0.0125
2017-06-19,126.453125,0.01275,103.2460938,0.011543,0.011658,0.01,0.0125
2017-06-20,126.75,0.01275,103.46875,0.01157,0.011658,0.01,0.0125
2017-06-21,126.671875,0.01275,103.4101563,0.01158,0.01165,0.01,0.0125
2017-06-22,126.671875,0.01275,103.4179688,0.01157,0.011647,0.01,0.0125
2017-06-23,126.734375,0.01275,103.453125,0.011571,0.011659,0.01,0.0125
2017-06-26,126.78125,0.01275,103.484375,0.011578,0.011685,0.01,0.0125
2017-06-27,126.28125,0.01275,103.078125,0.011585,0.01168,0.01,0.0125
2017-06-28,126.203125,0.01275,103.015625,0.011594,0.011705,0.01,0.0125
2017-06-29,125.8125,0.01275,102.6953125,0.011608,0.01172,0.01,0.0125
2017-06-30,125.53125,0.01275,102.453125,0.011623,0.01175,0.01,0.0125
2017-07-03,125.109375,0.01185,102.1132813,0.011662,0.011797,0.01,0.0125
2017-07-05,125.21875,0.0116,102.1992188,0.011695,0.011818,0.01,0.0125
2017-07-06,124.984375,0.0116,102.0117188,0.011671,0.011797,0.01,0.0125
2017-07-07,124.84375,0.0113,101.8945313,0.011662,0.011771,0.01,0.0125
2017-07-10,125.078125,0.0113,102.078125,0.01166,0.011755,0.01,0.0125
2017-07-11,125.171875,0.0113,102.15625,0.011647,0.011738,0.01,0.0125
2017-07-12,125.515625,0.0113,102.4257813,0.011649,0.01173,0.01,0.0125
2017-07-13,125.40625,0.01125,102.328125,0.011658,0.011737,0.01,0.0125
2017-07-14,125.671875,0.01125,102.5273438,0.011638,0.0117,0.01,0.0125
2017-07-17,125.75,0.01125,102.5898438,0.011641,0.011701,0.01,0.0125
2017-07-18,126.109375,0.01125,102.8789063,0.01162,0.011685,0.01,0.0125
2017-07-19,126.046875,0.01105,102.8242188,0.01167,0.011731,0.01,0.0125
2017-07-20,126.0625,0.0112,102.8359375,0.011631,0.01169,0.01,0.0125
2017-07-21,126.3125,0.01135,103.0390625,0.011633,0.01169,0.01,0.0125
2017-07-24,126.15625,0.01135,102.8984375,0.011663,0.011735,0.01,0.0125
2017-07-25,125.578125,0.01135,102.4296875,0.011668,0.011734,0.01,0.0125
2017-07-26,126.015625,0.01135,102.7734375,0.011614,0.01166,0.01,0.0125
2017-07-27,125.828125,0.01135,102.6171875,0.011616,0.011658,0.01,0.0125
2017-07-28,125.953125,0.01135,102.7148438,0.011606,0.01165,0.01,0.0125
2017-07-31,125.890625,0.01135,102.671875,0.01161,0.011664,0.01,0.0125
2017-08-01,126.234375,0.01125,102.9414063,0.01161,0.011655,0.01,0.0125
2017-08-02,126.109375,0.01125,102.8320313,0.011618,0.011662,0.01,0.0125
2017-08-03,126.359375,0.01125,103.0429688,0.011616,0.011659,0.01,0.0125
2017-08-04,126.078125,0.01125,102.7929688,0.011622,0.011668,0.01,0.0125
2017-08-07,126.171875,0.0108,102.8828125,0.011625,0.011672,0.01,0.0125
2017-08-08,126.015625,0.0108,102.7421875,0.011638,0.01168,0.01,0.0125
2017-08-09,126.34375,0.0108,103.0117188,0.011624,0.011662,0.01,0.0125
2017-08-10,126.5625,0.01115,103.171875,0.011609,0.011649,0.01,0.0125
2017-08-11,126.8125,0.01145,103.3632813,0.011599,0.011623,0.01,0.0125
2017-08-14,126.546875,0.01145,103.1523438,0.011587,0.01166,0.01,0.0125
2017-08-15,126.15625,0.01145,102.828125,0.011613,0.01168,0.01,0.0125
2017-08-16,126.515625,0.01145,103.109375,0.011613,0.011658,0.01,0.0125
2017-08-17,126.71875,0.01145,103.265625,0.011588,0.011663,0.01,0.0125
2017-08-18,126.75,0.01145,103.2773438,0.011585,0.01167,0.01,0.0125
2017-08-21,126.84375,0.01145,103.3671875,0.01159,0.01166,0.01,0.0125
2017-08-22,126.5625,0.01145,103.1367188,0.011595,0.011708,0.01,0.0125
