dates,futPrices,repoRates,ctdPrices,ois3,ois4,fedLow,fedUp
2017-05-15,150.03125,0.0085,126.640625,0.010335,0.010537,0.0075,0.01
2017-05-16,150.375,0.0085,126.890625,0.010325,0.010545,0.0075,0.01
2017-05-17,152.53125,0.00845,128.7265625,0.01016,0.010255,0.0075,0.01
2017-05-18,152.5625,0.00845,128.7226563,0.010423,0.010573,0.0075,0.01
2017-05-19,152.59375,0.00855,128.7148438,0.010468,0.010647,0.0075,0.01
2017-05-22,152.53125,0.00855,128.6640625,0.010567,0.010742,0.0075,0.01
2017-05-23,152.03125,0.00855,128.2617188,0.010675,0.010846,0.0075,0.01
2017-05-24,152.28125,0.00875,128.4296875,0.01063,0.010775,0.0075,0.01
2017-05-25,152.59375,0.0093,128.6601563,0.01082,0.010979,0.0075,0.01
2017-05-26,152.625,0.0093,128.6445313,0.01079,0.010947,0.0075,0.01
2017-05-30,153.3125,0.0093,129.2226563,0.010921,0.011025,0.0075,0.01
2017-05-31,153.8125,0.00955,129.6367188,0.010985,0.011115,0.0075,0.01
2017-06-01,153.53125,0.00935,129.3867188,0.01112,0.011238,0.0075,0.01
2017-06-02,154.84375,0.00935,130.46875,0.011155,0.011295,0.0075,0.01
2017-06-05,154.34375,0.00935,130.0234375,0.011202,0.011364,0.0075,0.01
2017-06-06,154.96875,0.00935,130.5585938,0.011214,0.01137,0.0075,0.01
2017-06-07,154.5,0.00935,130.1367188,0.011276,0.0114,0.0075,0.01
2017-06-08,154.21875,0.0106,129.890625,0.011367,0.011493,0.0075,0.01
2017-06-09,154.21875,0.0106,129.8632813,0.011412,0.011548,0.0075,0.01
2017-06-12,153.96875,0.01125,129.5898438,0.011446,0.011588,0.0075,0.01
2017-06-13,154.03125,0.01125,129.6210938,0.01147,0.01159,0.0075,0.01
2017-06-14,155.625,0.01125,130.9609375,0.011525,0.011621,0.01,0.0125
2017-06-15,155.46875,0.01215,130.7929688,0.011558,0.011663,0.01,0.0125
2017-06-16,155.625,0.01225,130.875,0.011558,0.011648,0.01,0.0125
