dates,futPrices,repoRates,ctdPrices,ois3,ois4,fedLow,fedUp
2017-05-15,160.4375,0.0085,114.1054688,0.010335,0.010537,0.0075,0.01
2017-05-16,160.875,0.0085,114.4140625,0.010325,0.010545,0.0075,0.01
2017-05-17,163.71875,0.00845,116.3789063,0.01016,0.010255,0.0075,0.01
2017-05-18,163.53125,0.00845,116.2539063,0.010423,0.010573,0.0075,0.01
2017-05-19,163.59375,0.00855,116.2773438,0.010468,0.010647,0.0075,0.01
2017-05-22,163.34375,0.00855,116.1015625,0.010567,0.010742,0.0075,0.01
2017-05-23,162.46875,0.00855,115.4921875,0.010675,0.010846,0.0075,0.01
2017-05-24,162.875,0.00875,115.7421875,0.01063,0.010775,0.0075,0.01
2017-05-25,163.25,0.0093,116.0117188,0.01082,0.010979,0.0075,0.01
2017-05-26,163.375,0.0093,116.0664063,0.01079,0.010947,0.0075,0.01
2017-05-30,164.21875,0.0093,116.6914063,0.010921,0.011025,0.0075,0.01
2017-05-31,165.125,0.00955,117.2929688,0.010985,0.011115,0.0075,0.01
2017-06-01,164.78125,0.00935,117.046875,0.01112,0.011238,0.0075,0.01
2017-06-02,166.5,0.00935,118.2539063,0.011155,0.011295,0.0075,0.01
2017-06-05,165.6875,0.00935,117.6445313,0.011202,0.011364,0.0075,0.01
2017-06-06,166.53125,0.00935,118.2617188,0.011214,0.01137,0.0075,0.01
2017-06-07,165.75,0.00935,117.6835938,0.011276,0.0114,0.0075,0.01
2017-06-08,165.21875,0.0106,117.3085938,0.011367,0.011493,0.0075,0.01
2017-06-09,165.34375,0.0106,117.3554688,0.011412,0.011548,0.0075,0.01
2017-06-12,164.96875,0.01125,117.078125,0.011446,0.011588,0.0075,0.01
2017-06-13,165.1875,0.01125,117.2148438,0.01147,0.01159,0.0075,0.01
2017-06-14,167.5625,0.01125,118.9257813,0.011525,0.011621,0.01,0.0125
2017-06-15,167.46875,0.01215,118.8242188,0.011558,0.011663,0.01,0.0125
2017-06-16,167.53125,0.01225,118.8554688,0.011558,0.011648,0.01,0.0125
2017-06-19,167.4375,0.01275,118.765625,0.011543,0.011658,0.01,0.0125
2017-06-20,169,0.01275,119.8632813,0.01157,0.011658,0.01,0.0125
2017-06-21,169.3125,0.01275,120.0664063,0.01158,0.01165,0.01,0.0125
2017-06-22,169.25,0.01275,120.0234375,0.01157,0.011647,0.01,0.0125
2017-06-23,169.59375,0.01275,120.234375,0.011571,0.011659,0.01,0.0125
2017-06-26,170.125,0.01275,120.609375,0.011578,0.011685,0.01,0.0125
2017-06-27,168.65625,0.01275,119.546875,0.011585,0.01168,0.01,0.0125
2017-06-28,167.6875,0.01275,118.8828125,0.011594,0.011705,0.01,0.0125
2017-06-29,166.5625,0.01275,118.0898438,0.011608,0.01172,0.01,0.0125
2017-06-30,165.875,0.01275,117.6015625,0.011623,0.01175,0.01,0.0125
2017-07-03,165.15625,0.01185,117.109375,0.011662,0.011797,0.01,0.0125
2017-07-05,165.5,0.0116,117.3242188,0.011695,0.011818,0.01,0.0125
2017-07-06,164.09375,0.0116,116.3085938,0.011671,0.011797,0.01,0.0125
2017-07-07,163.125,0.0113,115.6289063,0.011662,0.011771,0.01,0.0125
2017-07-10,163.5,0.0113,115.890625,0.01166,0.011755,0.01,0.0125
2017-07-11,163.53125,0.0113,115.8867188,0.011647,0.011738,0.01,0.0125
2017-07-12,164.4375,0.0113,116.5351563,0.011649,0.01173,0.01,0.0125
2017-07-13,163.65625,0.01125,115.984375,0.011658,0.011737,0.01,0.0125
2017-07-14,163.9375,0.01125,116.1835938,0.011638,0.0117,0.01,0.0125
2017-07-17,164.4375,0.01125,116.5,0.011641,0.011701,0.01,0.0125
2017-07-18,165.75,0.01125,117.4335938,0.01162,0.011685,0.01,0.0125
2017-07-19,165.9375,0.01105,117.5429688,0.01167,0.011731,0.01,0.0125
2017-07-20,166.25,0.0112,117.7734375,0.011631,0.01169,0.01,0.0125
2017-07-21,167.3125,0.01135,118.484375,0.011633,0.01169,0.01,0.0125
2017-07-24,166.375,0.01135,117.84375,0.011663,0.011735,0.01,0.0125
2017-07-25,164.09375,0.01135,116.2304688,0.011668,0.011734,0.01,0.0125
2017-07-26,164.625,0.01135,116.5898438,0.011614,0.01166,0.01,0.0125
2017-07-27,163.625,0.01135,115.8867188,0.011616,0.011658,0.01,0.0125
2017-07-28,164.59375,0.01135,116.5664063,0.011606,0.01165,0.01,0.0125
2017-07-31,164.5,0.01135,116.4882813,0.01161,0.011664,0.01,0.0125
2017-08-01,166.0625,0.01125,117.5429688,0.01161,0.011655,0.01,0.0125
2017-08-02,166.28125,0.01125,117.7148438,0.011618,0.011662,0.01,0.0125
2017-08-03,167.375,0.01125,118.46875,0.011616,0.011659,0.01,0.0125
2017-08-04,166.125,0.01125,117.5703125,0.011622,0.011668,0.01,0.0125
2017-08-07,166.34375,0.0108,117.7265625,0.011625,0.011672,0.01,0.0125
2017-08-08,165.46875,0.0108,117.1132813,0.011638,0.01168,0.01,0.0125
2017-08-09,166.875,0.0108,118.1054688,0.011624,0.011662,0.01,0.0125
2017-08-10,167.84375,0.01115,118.765625,0.011609,0.011649,0.01,0.0125
2017-08-11,168.03125,0.01145,118.8945313,0.011599,0.011623,0.01,0.0125
2017-08-14,167.59375,0.01145,118.5664063,0.011587,0.01166,0.01,0.0125
2017-08-15,166.5625,0.01145,117.8164063,0.011613,0.01168,0.01,0.0125
2017-08-16,167.46875,0.01145,118.4921875,0.011613,0.011658,0.01,0.0125
2017-08-17,168.21875,0.01145,118.984375,0.011588,0.011663,0.01,0.0125
2017-08-18,168.40625,0.01145,119.0976563,0.011585,0.01167,0.01,0.0125
2017-08-21,168.78125,0.01145,119.3671875,0.01159,0.01166,0.01,0.0125
2017-08-22,168,0.01145,118.7851563,0.011595,0.011708,0.01,0.0125
