DATE,FED_LOWER,FED_UPPER,FUT_RP,OIS_3M,OIS_4M,FVU7,US912828U659,TUU7,US912828WS57,TYU7,US912828WJ58,USU7,US912810FT08,UXYU7,US912828V988,WNU7,US912810RD28
2017-05-15,0.75,1,0.85,1.0335,1.0537,117.71875,99.7578125,108.125,100.625,125.140625,102.3359375,150.03125,126.640625,133.921875,99.17578125,160.4375,114.1054688
2017-05-16,0.75,1,0.85,1.0325,1.0545,117.765625,99.79296875,108.1328125,100.6289063,125.21875,102.3945313,150.375,126.890625,134.03125,99.2578125,160.875,114.4140625
2017-05-17,0.75,1,0.845,1.016,1.0255,118.2734375,100.2226563,108.2734375,100.7382813,126.125,103.1171875,152.53125,128.7265625,135.359375,100.2304688,163.71875,116.3789063
2017-05-18,0.75,1,0.845,1.0423,1.0573,118.1640625,100.1171875,108.2265625,100.6953125,125.984375,103.0039063,152.5625,128.7226563,135.203125,100.078125,163.53125,116.2539063
2017-05-19,0.75,1,0.855,1.0468,1.0647,118.1015625,100.0742188,108.21875,100.6757813,125.890625,102.9257813,152.59375,128.7148438,135.09375,99.9765625,163.59375,116.2773438
2017-05-22,0.75,1,0.855,1.0567,1.0742,118.09375,100.0546875,108.21875,100.6757813,125.828125,102.8632813,152.53125,128.6640625,135,99.90625,163.34375,116.1015625
2017-05-23,0.75,1,0.855,1.0675,1.0846,117.9296875,99.90625,108.15625,100.6132813,125.5625,102.640625,152.03125,128.2617188,134.625,99.64453125,162.46875,115.4921875
2017-05-24,0.75,1,0.875,1.063,1.0775,118.0703125,100.0195313,108.1875,100.6445313,125.765625,102.8085938,152.28125,128.4296875,134.84375,99.80078125,162.875,115.7421875
2017-05-25,0.75,1,0.93,1.082,1.0979,118.1015625,100.0546875,108.2109375,100.6640625,125.859375,102.8867188,152.59375,128.6601563,134.984375,99.90625,163.25,116.0117188
2017-05-26,0.75,1,0.93,1.079,1.0947,118.1015625,100.0429688,108.203125,100.6523438,125.890625,102.8867188,152.625,128.6445313,135.09375,99.94921875,163.375,116.0664063
